Class 1 
=======
x = [ x1        x2 ]

    2.4759    3.9085
    3.4122    2.1222
    2.0226    3.0470
    1.9521    1.7731
    3.7013    1.8375
    1.4903    2.6901
    1.9971    2.5558
    2.9199    0.8797
    2.1498    0.4673
    3.4049    0.9021
    3.0341    0.5842
    2.2916    2.0596
    1.2223    1.5887
    2.5667    1.6320
    0.6174    0.6390
    2.2445    2.7796
    2.8084    2.4394
    2.2130    1.9104
    2.8797    3.0212
    4.0389    1.1260
    2.9239    2.4147
    2.2669    2.3484
    2.6417    2.3493
    2.4255    1.2708
    0.6853    2.3268
    1.5836    1.4851
    3.2247    1.1036
    1.9564    0.7967
    2.5824    3.0378
    0.9935    1.1541
    2.0645    1.8271
    2.6003    0.7913
    0.6385    1.7029
    2.3476   -1.2320
    1.8182    0.9130
    1.0605    0.5736
    1.9625    0.9855
    0.1037    1.7867
   -0.1280    1.6747
    0.8231    3.9444
    1.0095    1.4282
    0.8270    1.7500
    0.2746    0.4307
    2.2882    1.5226
    0.4058    0.6620
    2.1102    2.0303
    2.7871    2.8531
    1.9978    2.4043
    2.0931    1.2994
    1.6218    0.3695
    0.5173    3.4600
    1.9562    4.0500
    2.9608    2.1205
    3.7382    1.0101
    1.5698    3.1978
    0.3727    1.4073
    2.1663    1.5302
    2.3763    2.8864
    1.7730    0.6148
    0.8511    0.0432
    4.0243    2.4207
   -0.3595    2.4007
    1.4900    2.0951
    0.6784    2.4967
    1.3639    3.0822
    2.3179    2.9704
    2.1380    1.4314
    1.2893    2.8100
    2.7770    2.1732
    2.6224    1.4945
    2.6474    0.8067
    1.5744    2.6470
    3.0486    1.6464
    2.6607    2.0464
    4.5088    1.2071
    3.0635    0.4495
    3.1569    2.1716
    2.0530    1.9379
    0.7116    3.1990
    1.6288    2.8017
    1.2422    3.0533
    1.4360    1.2511
    2.5551    1.0637
    1.4432    0.7309
    1.1049    2.4980
    1.5907    4.7891
    1.8391    2.7276
    2.4093    1.2269
    1.0474    2.8366
    2.3173    0.8717
    2.0780    0.5755
    3.3244    2.7174
    1.7868    1.2221
    1.8655    2.3160
    0.8286    3.4065
    0.6147    2.4011
    2.3105    2.9297
    1.7505    0.3942
    2.5037    2.6615
    1.1073    4.1385
